,Princess of Mars,"The Lion, the Witch and the Wardrobe",Tales of the Dying Earth,The Lord of the Rings,The Once and Future King,Something Wicked This Way Comes,Witch World,A Wrinkle in Time,Lord of Light,Pavane,The Last Unicorn,The Amber Chronicles,Roadside Picnic,The Princess Bride,The Chronicles of Thomas Covenant the Unbeliever,The Sword of Shannara Trilogy,The Mists of Avalon,Wild Seed,Discworld,Neuromancer,Howl's Moving Castle,The Belgariad,The Farseer Trilogy,A Song of Ice and Fire,Harry Potter Series,Brown Girl in the Ring,Cry of the Wind,Perdido Street Station,American Gods,Jonathan Strange and Mr. Norrell,The Way of Kings,Licht - Die Trilogie: Drei Romaine,Among Others
A Song of Ice and Fire,3.1631417,6.240001,6.1227827,6.5588593,6.709961,6.6467857,5.8632917,3.6598141,6.512704,6.318263,6.4951277,5.3208394,4.996062,7.378589,4.8543043,6.001414,6.8322134,5.7490907,5.4688225,6.463769,7.35361,6.6912317,6.7614036,,6.6060915,6.5274057,6.643288,4.3828254,6.54432,6.550261,7.186022,7.430855,6.9569173
Harry Potter Series,2.0871847,6.626927,5.3294997,5.726195,5.522471,5.8507395,5.049875,2.6821003,5.894272,5.583051,6.4543023,4.636605,4.1650267,6.9562483,4.3322906,5.2418013,6.8838935,5.3003674,4.8676434,5.9730444,7.043396,6.3633585,5.8026547,6.6060915,,5.8874583,5.9810667,3.7735608,5.389775,6.372248,6.4589133,7.0239806,6.471485
Brown Girl in the Ring,3.2644083,4.8000717,6.1094627,4.2304726,4.9728107,6.2419796,5.5082526,3.8448205,6.915639,7.3754206,4.956594,4.627925,5.7370024,6.730589,4.5831275,6.3174977,6.5336533,6.7589455,5.247975,7.830786,8.424871,6.0208282,7.984186,6.5274057,5.8874583,,8.520067,3.880543,6.8007183,6.789002,8.743344,7.2218366,6.9375005
Cry of the Wind,3.0407755,4.766995,6.1113443,4.0718737,4.875951,6.2378626,5.481168,3.6872115,7.0064535,7.4464564,4.8996634,4.5998816,5.7100163,6.7901144,4.5932307,6.3437276,6.65729,7.025163,5.261824,8.158026,9.030289,6.0675554,8.344205,6.643288,5.9810667,8.520067,,3.8512833,6.6085224,6.955733,8.938583,7.3201427,7.0292387
Perdido Street Station,3.089122,4.54598,4.5495067,5.042548,4.8584027,4.8677163,4.409149,3.273639,4.468427,4.2856145,4.9170055,3.8960688,4.0074983,4.961159,3.5025437,4.4064937,4.246989,3.5875468,3.9539478,3.8431368,4.164965,4.4956923,4.8749847,4.3828254,3.7735608,3.880543,3.8512833,,3.9972363,4.407509,4.4150686,5.0909414,4.770572
American Gods,2.0932193,4.5854383,5.281082,4.478262,5.3040485,6.0175147,5.1572175,2.625018,5.6439424,5.0137196,4.9000726,5.068025,3.8622665,6.8343687,4.4657273,5.0468516,6.346376,6.02195,4.95962,6.0328336,5.564122,6.0591326,5.1201363,6.54432,5.389775,6.8007183,6.6085224,3.9972363,,6.748676,8.031475,7.3489537,6.539514
Jonathan Strange and Mr. Norrell,3.2634833,5.721744,6.059555,5.7620997,6.0660343,6.6006017,5.834998,3.7049968,6.3898916,6.1732187,5.94957,5.206906,4.935098,7.0654445,4.8123317,5.9175625,6.644055,5.872175,5.4143806,6.676234,7.360162,6.387,6.617574,6.550261,6.372248,6.789002,6.955733,4.407509,6.748676,,7.4284267,7.2960324,6.840343
The Way of Kings,4.1582475,5.4137044,6.9105153,4.9763427,5.728941,7.047397,6.257809,4.6860037,7.7251134,7.401752,5.6319294,5.2509575,6.062976,7.4868174,5.154333,7.14467,7.171881,7.312832,5.902702,8.18174,8.497072,6.7022843,7.91896,7.186022,6.4589133,8.743344,8.938583,4.4150686,8.031475,7.4284267,,8.000896,7.7007117
Licht - Die Trilogie: Drei Romaine,4.0670376,6.955382,7.1009,7.1262984,7.267358,7.6576734,6.8134723,4.530417,7.468299,7.3572206,7.196669,6.0902762,5.920063,8.187524,5.5627904,6.96769,7.434946,6.388603,6.2775383,7.1209164,7.987098,7.434111,7.9666824,7.430855,7.0239806,7.2218366,7.3201427,5.0909414,7.3489537,7.2960324,8.000896,,7.8609295
Among Others,4.164862,6.505784,6.8277917,6.529917,6.7328296,7.3007693,6.582563,4.5269637,7.1255617,7.065358,6.7105947,5.6858115,5.7508035,7.725766,5.282989,6.697203,6.916922,6.1244984,6.000519,6.814957,7.616933,7.010961,7.699499,6.9569173,6.471485,6.9375005,7.0292387,4.770572,6.539514,6.840343,7.7007117,7.8609295,
